"ID","acc","accept_status","accuracy","age","average_response_time","avg_rt","background","bidi","block","buttons","canvas_backend","checkbox_status","clock_backend","color_backend","colour","compensation","congruency","coordinates","correct","correct_answer","correct_button_block","correct_new_keyboard_response","count_C","count_I","count_Instruction","count_Practice_start","count_age","count_answer","count_blank","count_blank2","count_blank3","count_blank_4","count_break","count_break2","count_button_block","count_consent_form","count_correct_feedback","count_cross","count_end","count_experiment","count_feedback","count_gender","count_incorrect_feedback","count_information_sheet","count_logger","count_new_keyboard_response","count_practice","count_stroop","count_target","datetime","description","disable_garbage_collection","expected","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","form_var","fullscreen","gender","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_answer","response_button_block","response_new_keyboard_response","response_time","response_time_answer","response_time_button_block","response_time_new_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_C","time_I","time_Instruction","time_Practice_start","time_age","time_answer","time_blank","time_blank2","time_blank3","time_blank_4","time_break","time_break2","time_button_block","time_consent_form","time_correct_feedback","time_cross","time_end","time_experiment","time_feedback","time_gender","time_incorrect_feedback","time_information_sheet","time_logger","time_new_keyboard_response","time_practice","time_stroop","time_target","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"21","100","yes","100","24","40330","40330","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","green","0","con","uniform","1","1","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","12/08/16 15:11:21","The main experiment item","yes","n","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","n","n","space","NA","1930","1930","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","351271","350699","351236","353204","354194","NA","NA","332232","162294","353440","350734","NA","2740","NA","NA","NA","4782","354644","NA","350505","350696","351271","Stroop CI","4","161322","4","yes","1366","GREEN"
"4","80","yes","80","24","32493","32493","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","blue","0","inc","uniform","0","0","1","NA","0","0","0","0","0","1","1","1","1","1","0","0","5","0","1","1","0","0","NA","0","1","0","1","NA","0","1","1","12/08/16 15:11:21","The main experiment item","yes","b","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","1147","1147","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","355437","354865","355402","356587","357577","NA","NA","332232","162294","353440","354900","NA","2740","NA","NA","356825","4782","358027","NA","350505","354863","355437","Stroop CI","4","162469","5","yes","1366","RED"
"16","83.3333333333","yes","83.3333333333","24","27199","27199","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","blue","0","con","uniform","1","1","1","NA","0","0","0","0","0","2","2","2","2","2","0","0","5","0","2","2","0","0","NA","0","2","0","2","NA","0","2","2","12/08/16 15:11:21","The main experiment item","yes","b","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","b","b","space","NA","730","730","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","358735","358163","358700","359467","360457","NA","NA","332232","162294","359704","358198","NA","2740","NA","NA","356825","4782","360908","NA","350505","358161","358735","Stroop CI","5","163199","6","yes","1366","BLUE"
"27","85.7142857143","yes","85.7142857143","24","23390","23390","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","3","3","3","3","3","0","0","5","0","3","3","0","0","NA","0","3","0","3","NA","0","3","3","12/08/16 15:11:21","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","536","536","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","361622","361050","361587","362161","363150","NA","NA","332232","162294","362398","361085","NA","2740","NA","NA","356825","4782","363600","NA","350505","361048","361622","Stroop CI","6","163735","7","yes","1366","FLOWER"
"35","87.5","yes","87.5","24","20540","20540","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","#ffef36","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","4","4","4","4","4","0","0","5","0","4","4","0","0","NA","0","4","0","4","NA","0","4","4","12/08/16 15:11:21","The main experiment item","yes","m","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","m","m","space","NA","590","590","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","364294","363722","364259","364887","365875","NA","NA","332232","162294","365123","363757","NA","2740","NA","NA","356825","4782","366325","NA","350505","363720","364294","Stroop CI","7","164325","8","yes","1366","SHIP"
"25","88.8888888889","yes","88.8888888889","24","18338","18338","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","5","5","5","5","5","0","0","5","0","5","5","0","0","NA","0","5","0","5","NA","0","5","5","12/08/16 15:11:21","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","724","724","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","367039","366467","367004","367766","368754","NA","NA","332232","162294","368002","366502","NA","2740","NA","NA","356825","4782","369204","NA","350505","366465","367039","Stroop CI","8","165049","9","yes","1366","SHIP"
"19","90","yes","90","24","16620","16620","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","green","0","con","uniform","1","1","1","NA","0","0","0","0","0","6","6","6","6","6","0","0","5","0","6","6","0","0","NA","0","6","0","6","NA","0","6","6","12/08/16 15:11:21","The main experiment item","yes","n","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","n","n","space","NA","1152","1152","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","369951","369379","369916","371106","372096","NA","NA","332232","162294","371344","369414","NA","2740","NA","NA","356825","4782","372546","NA","350505","369377","369951","Stroop CI","9","166201","10","yes","1366","GREEN"
"18","90.9090909091","yes","90.9090909091","24","15165","15165","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","blue","0","con","uniform","1","1","1","NA","0","0","0","0","0","7","7","7","7","7","0","0","5","0","7","7","0","0","NA","0","7","0","7","NA","0","7","7","12/08/16 15:11:21","The main experiment item","yes","b","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","b","b","space","NA","618","618","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","373253","372681","373218","373874","374864","NA","NA","332232","162294","374110","372716","NA","2740","NA","NA","356825","4782","375314","NA","350505","372678","373253","Stroop CI","10","166819","11","yes","1366","BLUE"
"31","91.6666666667","yes","91.6666666667","24","13993","13993","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","green","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","8","8","8","8","8","0","0","5","0","8","8","0","0","NA","0","8","0","8","NA","0","8","8","12/08/16 15:11:21","The main experiment item","yes","n","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","n","n","space","NA","1098","1098","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","376051","375479","376016","377151","378141","NA","NA","332232","162294","377389","375514","NA","2740","NA","NA","356825","4782","378591","NA","350505","375476","376051","Stroop CI","11","167917","12","yes","1366","LOT"
"11","92.3076923077","yes","92.3076923077","24","12964","12964","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","#ffef36","0","inc","uniform","1","1","1","NA","0","0","0","0","0","9","9","9","9","9","0","0","5","0","9","9","0","0","NA","0","9","0","9","NA","0","9","9","12/08/16 15:11:21","The main experiment item","yes","m","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-13_CI.csv","legacy","Interactive Ising","3.0.2","0","m","m","space","NA","621","621","18272","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","203112","332232","178395","379288","378715","379253","379916","380905","NA","NA","332232","162294","380152","378751","NA","2740","NA","NA","356825","4782","381355","NA","350505","378713","379288","Stroop CI","12","168538","13","yes","1366","BLUE"
